,language,overview,release_date,runtime,title,vote_average,vote_count,company,country,director,genre,star,writer
324,en,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",2004-04-07,137.0,The Alamo,5.8,106,Touchstone Pictures,USA,John Lee Hancock,Drama,Dennis Quaid,Leslie Bohem
325,en,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",2004-11-05,115.0,The Incredibles,7.4,5152,Pixar Animation Studios,USA,Brad Bird,Animation,Craig T. Nelson,Brad Bird
326,en,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",1995-12-22,119.0,Cutthroat Island,5.7,136,Beckner/Gorman Productions,USA,Renny Harlin,Action,Geena Davis,Michael Frost Beckner
327,en,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",2010-02-01,118.0,Percy Jackson & the Olympians: The Lightning Thief,6.0,2010,Fox 2000 Pictures,UK,Chris Columbus,Adventure,Logan Lerman,Craig Titley
328,en,"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black.",1997-07-02,98.0,Men in Black,6.9,4412,Columbia Pictures Corporation,USA,Barry Sonnenfeld,Adventure,Tommy Lee Jones,Lowell Cunningham
329,en,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",1999-10-30,92.0,Toy Story 2,7.3,3806,Pixar Animation Studios,USA,John Lasseter,Animation,Tom Hanks,John Lasseter
330,en,"A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania, and only two men can stop it: a veteran engineer and a young conductor. Thousands of lives hang in the balance as these ordinary heroes attempt to chase down one million tons of hurtling steel and prevent an epic disaster.",2010-11-04,98.0,Unstoppable,6.3,1165,Twentieth Century Fox Film Corporation,USA,Tony Scott,Action,Denzel Washington,Mark Bomback
331,en,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.",2001-08-03,90.0,Rush Hour 2,6.4,1054,New Line Cinema,USA,Brett Ratner,Action,Jackie Chan,Ross LaManna
332,en,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",2000-07-21,130.0,What Lies Beneath,6.3,488,DreamWorks,USA,Robert Zemeckis,Drama,Harrison Ford,Clark Gregg
333,en,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",2009-09-17,90.0,Cloudy with a Chance of Meatballs,6.5,1747,Columbia Pictures,USA,Phil Lord,Animation,Anna Faris,Phil Lord
334,en,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",2009-06-29,94.0,Ice Age: Dawn of the Dinosaurs,6.5,2271,Twentieth Century Fox Animation,USA,Carlos Saldanha,Animation,Ray Romano,Peter Ackerman
335,en,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,2013-12-18,114.0,The Secret Life of Walter Mitty,7.0,3144,Twentieth Century Fox Film Corporation,USA,Ben Stiller,Adventure,Ben Stiller,Steve Conrad
336,en,"Aspects of this take on the 1970s hit TV series are similar to the original show :Angels Dylan, Natalie and Alex still work for Charlie and interface with Bosley. They still flip their hair, stop traffic with a smile and kick butt. The differences are the unsubtle humor, the martial arts training and the high-tech premise: This time, they're hot on the trail of stolen software.",2000-11-02,98.0,Charlie's Angels,5.6,1232,Columbia Pictures Corporation,USA,McG,Action,Cameron Diaz,Ryan Rowe
337,en,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",2006-10-05,151.0,The Departed,7.9,4339,Warner Bros.,USA,Martin Scorsese,Crime,Leonardo DiCaprio,William Monahan
338,en,"A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.",1998-06-18,88.0,Mulan,7.6,2008,Walt Disney Feature Animation Florida,USA,Tony Bancroft,Animation,Ming-Na Wen,Robert D. San Souci
339,en,"Vietnam veteran 'Four Leaf' Tayback's memoir, Tropic Thunder, is being made into a film, but Director Damien Cockburn can’t control the cast of prima donnas. Behind schedule and over budget, Cockburn is ordered by a studio executive to get filming back on track, or risk its cancellation. On Tayback's advice, Cockburn drops the actors into the middle of the jungle to film the remaining scenes but, unbeknownst to the actors and production, the group have been dropped in the middle of the Golden Triangle, the home of heroin-producing gangs.",2008-08-09,107.0,Tropic Thunder,6.5,1667,DreamWorks,USA,Ben Stiller,Action,Ben Stiller,Justin Theroux
340,en,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",2011-12-14,158.0,The Girl with the Dragon Tattoo,7.2,2434,Yellow Bird,Sweden,Niels Arden Oplev,Drama,Michael Nyqvist,Nikolaj Arcel
341,en,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",2011-12-14,158.0,The Girl with the Dragon Tattoo,7.2,2434,Columbia Pictures,USA,David Fincher,Crime,Daniel Craig,Steven Zaillian
342,en,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",2009-12-23,128.0,Sherlock Holmes,7.0,5766,Warner Bros.,USA,Guy Ritchie,Action,Robert Downey Jr.,Michael Robert Johnson
343,en,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,2016-08-17,125.0,Ben-Hur,5.3,621,LightWorkers Media,USA,Timur Bekmambetov,Action,Jack Huston,Lew Wallace
344,en,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea.",2001-06-02,95.0,Atlantis: The Lost Empire,6.7,1224,Walt Disney Feature Animation,USA,Gary Trousdale,Animation,Michael J. Fox,Tab Murphy
345,en,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal.",2015-12-17,92.0,Alvin and the Chipmunks: The Road Chip,5.8,428,Fox 2000 Pictures,USA,Walt Becker,Animation,Jason Lee,Ross Bagdasarian
346,en,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",2008-12-25,121.0,Valkyrie,6.7,1173,Metro-Goldwyn-Mayer (MGM),USA,Bryan Singer,Drama,Tom Cruise,Christopher McQuarrie
347,en,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,2008-06-05,113.0,You Don't Mess with the Zohan,5.5,1048,Columbia Pictures,USA,Dennis Dugan,Action,Adam Sandler,Adam Sandler
348,en,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,2015-07-16,105.0,Pixels,5.6,2513,Columbia Pictures,USA,Chris Columbus,Action,Adam Sandler,Tim Herlihy
349,en,"A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.",2001-06-29,146.0,A.I. Artificial Intelligence,6.8,1974,Warner Bros.,USA,Steven Spielberg,Adventure,Haley Joel Osment,Brian Aldiss
350,en,"Workaholic Jim Evers and his wife/business partner, Sara get a call one night from mansion owner, Edward Gracey wants to sell his house. Once the Evers family arrive at the mansion a butler takes them to dine with Gracey. Gracey takes one look at Sara and he thinks she's his lost lover.",2003-11-25,99.0,The Haunted Mansion,5.2,466,Walt Disney Pictures,USA,Rob Minkoff,Comedy,Eddie Murphy,David Berenbaum
351,en,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",1997-07-11,150.0,Contact,7.2,1308,Warner Bros.,USA,Robert Zemeckis,Drama,Jodie Foster,James V. Hart
352,en,"Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is – no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results.",2000-08-04,112.0,Hollow Man,5.6,634,Columbia Pictures Corporation,USA,Paul Verhoeven,Action,Kevin Bacon,Gary Scott Thompson
353,en,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate.",2005-04-08,128.0,The Interpreter,6.2,392,Universal Pictures,UK,Sydney Pollack,Crime,Nicole Kidman,Martin Stellman
354,en,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",2013-08-07,106.0,Percy Jackson: Sea of Monsters,5.9,1648,Fox 2000 Pictures,USA,Thor Freudenthal,Adventure,Logan Lerman,Marc Guggenheim
355,en,"Lara Croft ventures to an underwater temple in search of the mythological Pandora's Box but, after securing it, it is promptly stolen by the villainous leader of a Chinese crime syndicate. Lara must recover the box before the syndicate's evil mastermind uses it to construct a weapon of catastrophic capabilities.",2003-07-21,117.0,Lara Croft Tomb Raider: The Cradle of Life,5.5,1418,Paramount Pictures,USA,Jan de Bont,Action,Angelina Jolie,Dean Georgaris
356,en,"Ivan Tretiak, Russian Mafia boss who wants to create an oil crisis in Moscow and seize power as a result sends Simon Templar, great international criminal, to England to get a secret formula for cold fusion from U.S. scientist Emma Russell. Templar falls in love with Emma and they try to outwit Tretiak and his guerrillas, hiding from them in Moscow",1997-04-03,116.0,The Saint,5.9,302,Paramount Pictures,USA,Phillip Noyce,Action,Val Kilmer,Leslie Charteris
357,en,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate.",2000-03-10,114.0,Mission to Mars,5.7,369,Touchstone Pictures,USA,Brian De Palma,Adventure,Tim Robbins,Lowell Cannon
358,en,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",2011-04-03,96.0,Rio,6.5,2166,Twentieth Century Fox Animation,USA,Carlos Saldanha,Animation,Jesse Eisenberg,Carlos Saldanha
359,en,"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.",1999-12-17,131.0,Bicentennial Man,6.9,963,1492 Pictures,USA,Chris Columbus,Comedy,Robin Williams,Isaac Asimov
360,en,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, Mike Roark, working with geologist Amy Barnes, must then use every resource in the city to try and stop the volcano from consuming Los Angeles.",1997-04-25,104.0,Volcano,5.2,376,Twentieth Century Fox Film Corporation,USA,Mick Jackson,Action,Tommy Lee Jones,Jerome Armstrong
361,en,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",1997-03-12,107.0,The Devil's Own,5.9,290,Columbia Pictures Corporation,USA,Alan J. Pakula,Action,Harrison Ford,Kevin Jarre
362,en,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.",2002-07-19,138.0,K-19: The Widowmaker,6.1,264,First Light Production,UK,Kathryn Bigelow,Drama,Harrison Ford,Louis Nowra
363,en,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",1982-04-02,129.0,Conan the Barbarian,6.6,650,Millennium Films,USA,Marcus Nispel,Action,Jason Momoa,Thomas Dean Donnelly
364,en,"The true story of boxer, Jim Braddock who, in the 1920’s after his retirement, has a surprise comeback in order to get him and his family out of a socially poor state.",2005-06-02,144.0,Cinderella Man,7.3,616,Universal Pictures,USA,Ron Howard,Biography,Russell Crowe,Cliff Hollingsworth
365,en,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,2003-07-22,141.0,Seabiscuit,6.7,216,Universal Pictures,USA,Gary Ross,Drama,Tobey Maguire,Laura Hillenbrand
366,en,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados.",1996-05-10,113.0,Twister,6.1,950,Warner Bros.,USA,Jan de Bont,Action,Helen Hunt,Michael Crichton
367,en,"Chuck, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor, and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo.",2000-12-22,143.0,Cast Away,7.5,3218,Twentieth Century Fox Film Corporation,USA,Robert Zemeckis,Adventure,Tom Hanks,William Broyles Jr.
368,en,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",2006-11-16,108.0,Happy Feet,5.9,1410,Warner Bros.,USA,George Miller,Animation,Elijah Wood,George Miller
369,en,"When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",2004-07-23,108.0,The Bourne Supremacy,7.2,2825,Universal Pictures,USA,Paul Greengrass,Action,Matt Damon,Robert Ludlum
370,en,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation.",1997-07-25,124.0,Air Force One,6.2,840,Columbia Pictures Corporation,USA,Wolfgang Petersen,Action,Harrison Ford,Andrew W. Marlowe
371,en,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",2001-12-07,116.0,Ocean's Eleven,7.2,3783,Warner Bros.,USA,Steven Soderbergh,Crime,George Clooney,George Clayton Johnson
372,en,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,2011-08-31,110.0,The Three Musketeers,5.6,924,Walt Disney Pictures,Austria,Stephen Herek,Action,Charlie Sheen,Alexandre Dumas
373,en,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,2011-08-31,110.0,The Three Musketeers,5.6,924,Summit Entertainment,Germany,Paul W.S. Anderson,Action,Logan Lerman,Alex Litvak
374,en,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.",2012-09-20,91.0,Hotel Transylvania,6.8,2566,Columbia Pictures,USA,Genndy Tartakovsky,Animation,Adam Sandler,Peter Baynham
375,en,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",2007-11-20,107.0,Enchanted,6.6,1449,Walt Disney Pictures,USA,Kevin Lima,Animation,Amy Adams,Bill Kelly
376,en,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil",2000-10-07,100.0,102 Dalmatians,5.1,313,Cruella Productions,USA,Kevin Lima,Adventure,Glenn Close,Dodie Smith
377,en,"A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.",2011-11-02,104.0,Tower Heist,5.8,932,Universal Pictures,USA,Brett Ratner,Action,Eddie Murphy,Adam Cooper
378,en,"Two women, one (Cameron Diaz) from America and one (Kate Winslet) from Britain, swap homes at Christmastime after bad breakups with their boyfriends. Each woman finds romance with a local man (Jude Law, Jack Black) but realizes that the imminent return home may end the relationship.",2006-12-08,136.0,The Holiday,6.7,1225,Columbia Pictures,USA,Nancy Meyers,Comedy,Kate Winslet,Nancy Meyers
379,en,"Hotshot Washington lawyer, Robert Dean becomes a victim of high-tech identity theft when a hacker slips an incriminating video into his pocket. Soon, a rogue National Security agent sets out to recover the tape – and destroy Dean.",1998-11-20,132.0,Enemy of the State,6.7,1240,Touchstone Pictures,USA,Tony Scott,Action,Will Smith,David Marconi
380,en,"Ten years after their divorce, Jane and Jake Adler unite for their son's college graduation and unexpectedly end up sleeping together. But Jake is married, and Jane is embarking on a new romance with her architect. Now, she has to sort out her life – just when she thought she had it all figured out.",2009-12-23,121.0,It's Complicated,6.2,360,Universal Pictures,USA,Nancy Meyers,Comedy,Meryl Streep,Nancy Meyers
381,en,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",2007-06-07,122.0,Ocean's Thirteen,6.5,1999,Warner Bros.,USA,Steven Soderbergh,Crime,George Clooney,Brian Koppelman
382,en,"Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",2006-09-29,83.0,Open Season,6.1,656,Columbia Pictures,USA,Roger Allers,Animation,Ashton Kutcher,Steve Bencich
383,en,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",2014-03-14,139.0,Divergent,6.9,4663,Summit Entertainment,USA,Neil Burger,Adventure,Shailene Woodley,Evan Daugherty
384,en,Enemy at the Gates is a war film from Jean-Jacques Annaud from 2001 that takes place during the battle of Stalingard in World War II between the Russians and the Germans.,2001-03-13,131.0,Enemy at the Gates,7.2,999,Swanford Films,UK,Jean-Jacques Annaud,Drama,Jude Law,Jean-Jacques Annaud
385,en,"When Travis, the mouthy son of a criminal, disappears in the Amazon in search of a treasured artifact, his father sends in Beck, who becomes Travis's rival for the affections of Mariana, a mysterious Brazilian woman. With his steely disposition, Beck is a man of few words -- but it takes him all the discipline he can muster to work with Travis to nab a tyrant who's after the same treasure.",2003-09-26,104.0,The Rundown,6.4,514,Columbia Pictures Corporation,USA,Peter Berg,Action,Dwayne Johnson,R.J. Stewart
386,en,"Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure, Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend.",1993-06-18,130.0,Last Action Hero,6.1,712,Columbia Pictures Corporation,USA,John McTiernan,Action,Arnold Schwarzenegger,Zak Penn
387,en,"A sweeping romantic epic set in Japan in the years before World War II, a penniless Japanese child is torn from her family to work as a maid in a geisha house.",2005-12-06,145.0,Memoirs of a Geisha,7.3,652,Columbia Pictures Corporation,USA,Rob Marshall,Drama,Ziyi Zhang,Robin Swicord
388,en,"In order to avoid a jail sentence, Sean Boswell heads to Tokyo to live with his military father. In a low-rent section of the city, Shaun gets caught up in the underground world of drift racing",2006-06-03,104.0,The Fast and the Furious: Tokyo Drift,6.1,1705,Universal Pictures,USA,Justin Lin,Action,Lucas Black,Chris Morgan
389,en,"When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.",1998-11-12,178.0,Meet Joe Black,6.9,1147,Universal Pictures,USA,Martin Brest,Drama,Brad Pitt,Ron Osborn
390,en,Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.,2002-02-06,108.0,Collateral Damage,5.5,427,Warner Bros.,USA,Andrew Davis,Action,Arnold Schwarzenegger,Ronald Roose
391,en,"After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...",2012-03-15,106.0,Mirror Mirror,5.5,1114,Relativity Media,USA,Tarsem Singh,Adventure,Lily Collins,Marc Klein
392,en,"Scott Pilgrim is a film adaptation of the critically acclaimed, award-winning series of graphic novels of the same name by Canadian cartoonist Bryan Lee O’Malley. Scott Pilgrim is a 23 year old Canadian slacker and wannabe rockstar who falls in love with an American delivery girl, Ramona V. Flowers, and must defeat her seven ""evil exes"" to be able to date her.",2010-07-27,112.0,Scott Pilgrim vs. the World,7.2,2126,Universal Pictures,USA,Edgar Wright,Action,Michael Cera,Michael Bacall
393,en,"Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic consequences. To resolve the crisis, Keyes, along with a team of the world's most gifted scientists, travel into the earth's core. Their mission: detonate a device that will reactivate the core.",2003-03-28,136.0,The Core,5.4,516,Paramount Pictures,USA,Jon Amiel,Action,Aaron Eckhart,Cooper Layne
394,en,"The hilarity begins when professor Sherman Klump finds romance with fellow DNA specialist, Denise Gaines, and discovers a brilliant formula that reverses aging. But Sherman's thin and obnoxious alter ego, Buddy Love, wants out...and a big piece of the action. And when Buddy gets loose, things get seriously nutty.",2000-07-27,106.0,Nutty Professor II: The Klumps,4.7,332,Universal Pictures,USA,Peter Segal,Comedy,Eddie Murphy,Jerry Lewis
395,en,"The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways.",2002-06-14,88.0,Scooby-Doo,5.4,820,Warner Bros.,USA,Raja Gosnell,Animation,Matthew Lillard,James Gunn
396,en,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",2012-09-07,95.0,Dredd,6.6,1940,DNA Films,UK,Pete Travis,Action,Karl Urban,John Wagner
397,en,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,2006-06-22,107.0,Click,6.0,2104,Columbia Pictures Corporation,USA,Frank Coraci,Comedy,Adam Sandler,Steve Koren
398,en,"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival!",2008-02-10,88.0,Jumper,5.9,1799,Twentieth Century Fox Film Corporation,USA,Doug Liman,Action,Hayden Christensen,David S. Goyer
399,en,"In this continuation to the adventure of the demon superhero, an evil elf breaks an ancient pact between humans and creatures, as he declares war against humanity. He is on a mission to release The Golden Army, a deadly group of fighting machines that can destroy the human race. As Hell on Earth is ready to erupt, Hellboy and his crew set out to defeat the evil prince.",2008-07-11,120.0,Hellboy II: The Golden Army,6.5,1527,Universal Pictures,USA,Guillermo del Toro,Action,Ron Perlman,Guillermo del Toro
400,en,"The true story of the investigation of 'The Zodiac Killer',  a serial killer who terrified the San Francisco Bay Area, taunting police with his ciphers and letters. The case becomes an obsession for four men as their lives and careers are built and destroyed by the endless trail of clues.",2007-03-02,157.0,Zodiac,7.3,2023,Paramount Pictures,USA,David Fincher,Crime,Jake Gyllenhaal,James Vanderbilt
401,en,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,2000-11-17,123.0,The 6th Day,5.7,595,Phoenix Pictures,USA,Roger Spottiswoode,Action,Arnold Schwarzenegger,Cormac Wibberley
